iter	RMSE
0	0.12442963
1	0.1238199483
2	0.1232444121
3	0.1227179201
4	0.1222235306
5	0.121787346
6	0.121352971
7	0.1209963606
8	0.1206290592
9	0.1202872238
10	0.1199626759
11	0.1196601987
12	0.1193780331
13	0.1191655555
14	0.1189239134
15	0.1187107182
16	0.1185051107
17	0.1183072966
18	0.1181371767
19	0.1179835631
20	0.1178132858
21	0.1176620229
22	0.1175308075
23	0.1173866583
24	0.1172588908
25	0.1171206142
26	0.1170090875
27	0.116843481
28	0.1167485373
29	0.116642609
30	0.1165365533
31	0.1163884032
32	0.1162695176
33	0.1161793327
34	0.1160848767
35	0.115991089
36	0.1159036836
37	0.1157659926
38	0.1156957434
39	0.1156297702
40	0.1155590796
41	0.1154966425
42	0.1154280925
43	0.1153694085
44	0.1153043867
45	0.1152055273
46	0.1151284986
47	0.1150375713
48	0.11496349
49	0.1148910659
50	0.1148416903
51	0.1147903127
52	0.1147276587
53	0.1146667676
54	0.1146114106
55	0.1145605492
56	0.1145022178
57	0.1144356853
58	0.1143760755
59	0.114322086
60	0.1142617151
61	0.114173297
62	0.1141247999
63	0.1140777254
64	0.1140286111
65	0.1139599965
66	0.1138828487
67	0.1138223929
68	0.1137433148
69	0.1137018097
70	0.1136510048
71	0.1135962257
72	0.1135173923
73	0.1134752572
74	0.1134212895
75	0.1133555439
76	0.1132973186
77	0.113248813
78	0.1132165252
79	0.1131732944
80	0.1131121471
81	0.1130602323
82	0.112990918
83	0.1129292821
84	0.1128883272
85	0.1128564996
86	0.1128184612
87	0.1127784183
88	0.1127279954
89	0.1126901924
90	0.1126428983
91	0.1125730707
92	0.112520713
93	0.1124715412
94	0.1124013257
95	0.1123713471
96	0.112315245
97	0.1122751586
98	0.1122410817
99	0.1122178971
100	0.1121882819
101	0.1121494648
102	0.1120879931
103	0.1120611123
104	0.1120248386
105	0.1119772948
106	0.111939378
107	0.1119062204
108	0.111865731
109	0.1118378257
110	0.1118050547
111	0.1117583118
112	0.1117206213
113	0.1116976894
114	0.1116521845
115	0.1116096499
116	0.1115681887
117	0.1115276959
118	0.1114837454
119	0.1114620599
120	0.1114385082
121	0.1113916409
122	0.1113558625
123	0.1113302588
124	0.1112815401
125	0.1112469632
126	0.1111991024
127	0.111139461
128	0.1110895627
129	0.1110357514
130	0.1109768873
131	0.1109097833
132	0.1108760297
133	0.1108522631
134	0.1108121996
135	0.1107796427
136	0.1107452484
137	0.1106882655
138	0.1106453976
139	0.1106110752
140	0.1105632166
141	0.1105281167
142	0.1104972958
143	0.1104822715
144	0.110441578
145	0.1104162634
146	0.1103958184
147	0.1103737582
148	0.1103366483
149	0.1102860441
150	0.1102549663
151	0.1102242779
152	0.110181333
153	0.1101319297
154	0.1100953049
155	0.1100554518
156	0.1100050624
157	0.1099849841
158	0.1099483144
159	0.1099069752
160	0.10987007
161	0.1098414699
162	0.1098204898
163	0.1097781412
164	0.1097481761
165	0.1097228863
166	0.1096808887
167	0.1096419341
168	0.109612603
169	0.1095787558
170	0.109550409
171	0.1095118677
172	0.1094795018
173	0.109460014
174	0.109428743
175	0.1093964925
176	0.1093675253
177	0.1093358515
178	0.1092963599
179	0.1092621326
180	0.109225309
181	0.1091972802
182	0.1091690096
183	0.1091227746
184	0.1091061887
185	0.1090745775
186	0.1090403934
187	0.1090146558
188	0.1089788876
189	0.1089423061
190	0.108883213
191	0.1088481273
192	0.1088106397
193	0.1087850507
194	0.1087554242
195	0.1087201056
196	0.1086894627
197	0.1086551647
198	0.1086151839
199	0.1085604409
200	0.1085259381
201	0.1084958092
202	0.1084531478
203	0.1084232337
204	0.1083859293
205	0.1083411754
206	0.1083067724
207	0.1082835208
208	0.1082498329
209	0.108203262
210	0.1081730895
211	0.1081405156
212	0.1081107507
213	0.1080722539
214	0.1080496215
215	0.1080232228
216	0.1079789368
217	0.107938193
218	0.1079038816
219	0.1078687184
220	0.1078320093
221	0.1078031912
222	0.1077667918
223	0.1077315509
224	0.1076952924
225	0.1076606862
226	0.1076220585
227	0.107589679
228	0.1075553666
229	0.1075234624
230	0.1074933909
231	0.1074558456
232	0.107398507
233	0.1073568052
234	0.1073263499
235	0.1072942059
236	0.1072500174
237	0.1072060484
238	0.1071567755
239	0.1071290341
240	0.1070974853
241	0.1070684567
242	0.1070159204
243	0.1069928753
244	0.1069584817
245	0.1069199996
246	0.1068996625
247	0.1068670753
248	0.1068197601
249	0.1067906497
250	0.1067443489
251	0.1067164693
252	0.1066693099
253	0.106636436
254	0.1065851767
255	0.1065424949
256	0.1065112867
257	0.1064694856
258	0.1064419966
259	0.1064110347
260	0.1063813205
261	0.1063601464
262	0.1063272107
263	0.1062997553
264	0.1062595959
265	0.1062261454
266	0.1061883317
267	0.1061360432
268	0.1061028148
269	0.1060535867
270	0.1060258615
271	0.1059854871
272	0.105953489
273	0.1059158937
274	0.1058875363
275	0.1058597532
276	0.105827764
277	0.1058164231
278	0.1057837257
279	0.1057510271
280	0.1057283431
281	0.105682397
282	0.1056557532
283	0.1056346973
284	0.1056036307
285	0.1055671129
286	0.1055347603
287	0.1054933973
288	0.1054722894
289	0.1054446276
290	0.1054138104
291	0.1053878521
292	0.1053523669
293	0.1053165025
294	0.105279218
295	0.1052497832
296	0.1052107341
297	0.1051750385
298	0.1051408514
299	0.1051111959
300	0.1050623405
301	0.1050372758
302	0.1050078816
303	0.1049727215
304	0.1049390349
305	0.1048909518
306	0.1048594837
307	0.1048313708
308	0.1047931602
309	0.1047541809
310	0.1047161305
311	0.1046734707
312	0.1046349221
313	0.1046109817
314	0.10458409
315	0.1045644809
316	0.1045349653
317	0.1045085503
318	0.1044795724
319	0.1044518837
320	0.1044287414
321	0.1043976049
322	0.1043655807
323	0.1043380651
324	0.104289421
325	0.1042528432
326	0.1042311884
327	0.1041933444
328	0.1041696961
329	0.1041448891
330	0.1041093273
331	0.1040870373
332	0.1040502712
333	0.1040239185
334	0.1040003588
335	0.1039648373
336	0.1039403188
337	0.1039055325
338	0.103886798
339	0.1038570434
340	0.103823667
341	0.1037939288
342	0.1037698141
343	0.1037340005
344	0.103710014
345	0.1036744738
346	0.1036513833
347	0.1036355212
348	0.1036198919
349	0.1035897104
350	0.1035678688
351	0.1035446888
352	0.1035108809
353	0.1034856268
354	0.1034653609
355	0.1034401538
356	0.1034142578
357	0.1033812483
358	0.1033582449
359	0.1033249742
360	0.1032938076
361	0.1032599969
362	0.1032387652
363	0.103211167
364	0.1031883678
365	0.1031588081
366	0.1031350256
367	0.1031115648
368	0.1030902645
369	0.1030636876
370	0.1030295665
371	0.1030077752
372	0.1029857935
373	0.1029567448
374	0.1029193725
375	0.1028912963
376	0.102854024
377	0.1028242611
378	0.1028051691
379	0.1027742718
380	0.1027490568
381	0.1027273303
382	0.1026896007
383	0.1026645873
384	0.1026502641
385	0.102617321
386	0.1025937887
387	0.1025718121
388	0.1025367219
389	0.1025110629
390	0.1024794664
391	0.1024538436
392	0.1024263479
393	0.1024052254
394	0.1023827475
395	0.1023412343
396	0.1023013154
397	0.1022742919
398	0.1022511636
399	0.102230346
400	0.1022007965
401	0.1021743645
402	0.102153108
403	0.1021338218
404	0.1021076217
405	0.1020785462
406	0.1020436685
407	0.1020247294
408	0.1019909427
409	0.1019697628
410	0.1019610411
411	0.1019260826
412	0.1019025743
413	0.1018775236
414	0.1018496809
415	0.1018194323
416	0.1017820657
417	0.1017534288
418	0.1017236517
419	0.1016956946
420	0.1016703882
421	0.1016464441
422	0.1016243762
423	0.101592983
424	0.1015815674
425	0.1015582056
426	0.1015295846
427	0.1015019013
428	0.1014814186
429	0.1014504229
430	0.1014294183
431	0.1013962477
432	0.1013700431
433	0.1013477258
434	0.1013252163
435	0.1013080662
436	0.1012855554
437	0.1012615956
438	0.1012306413
439	0.1012149895
440	0.1011821924
441	0.1011600238
442	0.1011300289
443	0.1011132131
444	0.1010869559
445	0.1010607887
446	0.1010325497
447	0.1009935254
448	0.1009717865
449	0.100947805
450	0.1009162808
451	0.1008964421
452	0.1008727113
453	0.1008467308
454	0.1008182525
455	0.1008036515
456	0.1007771072
457	0.1007536153
458	0.1007303853
459	0.1007048092
460	0.1006849883
461	0.1006647994
462	0.100634764
463	0.100609571
464	0.100587959
465	0.1005667157
466	0.1005367024
467	0.1005063655
468	0.1004812022
469	0.1004573791
470	0.1004395718
471	0.1004021014
472	0.1003794207
473	0.1003591468
474	0.1003345802
475	0.1003012147
476	0.1002819978
477	0.1002571244
478	0.1002299353
479	0.1002104906
480	0.1001847576
481	0.100162574
482	0.1001454151
483	0.1001252584
484	0.1001027513
485	0.100075232
486	0.1000579414
487	0.1000404532
488	0.1000163596
489	0.09999551063
490	0.09997049576
491	0.09995242213
492	0.09993527931
493	0.09991197241
494	0.0998902974
495	0.09987329664
496	0.09985137439
497	0.09982226726
498	0.09980405618
499	0.09977894649
500	0.09974843921
501	0.09972943584
502	0.09970690034
503	0.09968619415
504	0.09966112144
505	0.0996390685
506	0.0996168467
507	0.09959541565
508	0.09957208343
509	0.09955050367
510	0.09953042353
511	0.09950847326
512	0.09948416791
513	0.0994660766
514	0.0994388568
515	0.09941662669
516	0.09937712777
517	0.09935625347
518	0.09931937564
519	0.09928881551
520	0.09925606764
521	0.09923790603
522	0.09921344086
523	0.09919407031
524	0.09917598062
525	0.09915376319
526	0.0991271619
527	0.09910550801
528	0.09908593475
529	0.09906553041
530	0.09904919243
531	0.0990325886
532	0.09900996171
533	0.09899193015
534	0.09896859839
535	0.09894916321
536	0.09892724388
537	0.09890789564
538	0.09888400393
539	0.09885902759
540	0.09883977415
541	0.09881618509
542	0.09879127039
543	0.09877263602
544	0.09875220107
545	0.09873491508
546	0.09871689431
547	0.09868968678
548	0.09867224175
549	0.0986551839
550	0.09862997004
551	0.09859713661
552	0.09857550401
553	0.09855273326
554	0.09852927351
555	0.09851143048
556	0.09849524774
557	0.09847230044
558	0.09844697638
559	0.09842219795
560	0.09839670341
561	0.09836690696
562	0.09834932008
563	0.09832535941
564	0.09830869211
565	0.09828505033
566	0.0982578996
567	0.09823612598
568	0.09821008672
569	0.09818295706
570	0.09815137928
571	0.09813241861
572	0.09810517929
573	0.09808326552
574	0.09805145261
575	0.09803124026
576	0.09800484775
577	0.09798356693
578	0.09796649776
579	0.09794996953
580	0.09792901118
581	0.09790359723
582	0.09788369537
583	0.09786068725
584	0.09784440019
585	0.09782581763
586	0.09780469747
587	0.09778088525
588	0.0977586046
589	0.09772707705
590	0.09770765125
591	0.09768541773
592	0.0976655132
593	0.09764268206
594	0.09761933917
595	0.0976014746
596	0.09757273592
597	0.09755372517
598	0.09753476732
599	0.09751622893
600	0.09749195393
601	0.09747061453
602	0.09745619087
603	0.09743949996
604	0.09742350992
605	0.09739306001
606	0.09736913947
607	0.09734928756
608	0.09732551375
609	0.09730390228
610	0.09728177617
611	0.09726183607
612	0.09724122698
613	0.09721873072
614	0.09719601952
615	0.09716529318
616	0.09713947536
617	0.09712167896
618	0.09709838263
619	0.09708128341
620	0.09706331667
621	0.09703392127
622	0.09700592121
623	0.0969859199
624	0.09697539966
625	0.09695923426
626	0.09694421274
627	0.09693291227
628	0.09691218429
629	0.09688692916
630	0.09686944719
631	0.09685083474
632	0.09682845192
633	0.09680268026
634	0.09678675697
635	0.09676858639
636	0.09675221193
637	0.09673268861
638	0.09670554718
639	0.09668600349
640	0.09666946244
641	0.09664403457
642	0.09662441419
643	0.0966059586
644	0.09658790159
645	0.09656637405
646	0.09655171239
647	0.09653877081
648	0.09652495939
649	0.09650218112
650	0.09648143542
651	0.09646427921
652	0.09644011959
653	0.09643030819
654	0.09640858399
655	0.096385456
656	0.09636236869
657	0.09634674576
658	0.09632828226
659	0.09630999309
660	0.09628913364
661	0.09626780795
662	0.09624904106
663	0.09622913454
664	0.09620989881
665	0.09618782157
666	0.09616740894
667	0.0961456142
668	0.09612840788
669	0.09611485935
670	0.09608718649
671	0.09606994451
672	0.09604520397
673	0.09603016791
674	0.09601804752
675	0.09599587449
676	0.09597473841
677	0.09595316012
678	0.0959273567
679	0.09590801219
680	0.09589082797
681	0.09586670561
682	0.09584253
683	0.09582644944
684	0.09580132378
685	0.09578053893
686	0.09576368073
687	0.0957530144
688	0.09573927515
689	0.09572401888
690	0.09570807187
691	0.09568917621
692	0.09566815398
693	0.0956526092
694	0.0956298684
695	0.09560714692
696	0.09559206031
697	0.09556774062
698	0.09555458832
699	0.09554192965
700	0.09552548179
701	0.09550839181
702	0.09549251943
703	0.09546807456
704	0.09544000087
705	0.0954120564
706	0.09539174741
707	0.09538431886
708	0.09536483521
709	0.0953423451
710	0.09532404863
711	0.09530625345
712	0.09529255029
713	0.09526876282
714	0.09525182897
715	0.09523288072
716	0.09521715822
717	0.09519401715
718	0.09517431943
719	0.0951574413
720	0.09514178859
721	0.09512289354
722	0.09510189477
723	0.0950865739
724	0.09506511108
725	0.09505427131
726	0.09504295246
727	0.09503004568
728	0.09501787203
729	0.09498776435
730	0.09497059882
731	0.09495266748
732	0.09493191002
733	0.09490448597
734	0.09489138435
735	0.094873374
736	0.09485321338
737	0.09483304081
738	0.09481505168
739	0.09479784805
740	0.09478622164
741	0.09477121211
742	0.09475353177
743	0.09472907939
744	0.09470987849
745	0.09469016174
746	0.09466907611
747	0.09464275784
748	0.09462411261
749	0.09460371869
750	0.09458457843
751	0.09456838906
752	0.094545964
753	0.09452693683
754	0.0945141051
755	0.09449534149
756	0.09448344278
757	0.09446282338
758	0.0944489946
759	0.09443513506
760	0.09441033744
761	0.09439478324
762	0.0943760227
763	0.09436531612
764	0.09434244719
765	0.09431967195
766	0.09430699855
767	0.09428240314
768	0.09425925179
769	0.09424239467
770	0.09422626652
771	0.09420644027
772	0.09418912463
773	0.09417563449
774	0.09415679165
775	0.09413974491
776	0.09411578333
777	0.09410005217
778	0.0940797985
779	0.09406338966
780	0.09404847703
781	0.09403281308
782	0.09400566387
783	0.09398738999
784	0.09397028171
785	0.09395366482
786	0.09393351486
787	0.09391416123
788	0.09389278332
789	0.09387185855
790	0.09385374213
791	0.09383544163
792	0.09380997336
793	0.09379010262
794	0.0937732662
795	0.09376000103
796	0.09374299332
797	0.09372170797
798	0.09370787055
799	0.09369073031
800	0.09367596665
801	0.09365748207
802	0.09363891159
803	0.09361761229
804	0.09360402661
805	0.09358615708
806	0.09356810738
807	0.09354882549
808	0.09352905082
809	0.0935136715
810	0.09350094352
811	0.09348223978
812	0.0934628582
813	0.09344297587
814	0.09341450148
815	0.09339450893
816	0.09337432763
817	0.09335170508
818	0.09333330832
819	0.09330739711
820	0.09328791536
821	0.09326826734
822	0.09325562809
823	0.0932404245
824	0.09322590029
825	0.0932111348
826	0.09319263449
827	0.0931734321
828	0.09315430644
829	0.09313819917
