iter	Passed	Remaining
0	163	162954
1	168	84001
2	173	57669
3	178	44431
4	183	36505
5	188	31247
6	193	27446
7	198	24609
8	203	22405
9	208	20654
10	213	19184
11	218	17982
12	223	16970
13	228	16099
14	233	15335
15	238	14670
16	243	14084
17	248	13567
18	253	13093
19	258	12667
20	263	12279
21	268	11936
22	273	11611
23	278	11317
24	282	11004
25	287	10761
26	292	10541
27	296	10302
28	300	10077
29	305	9889
30	311	9721
31	316	9569
32	321	9411
33	326	9277
34	331	9150
35	337	9030
36	342	8906
37	347	8797
38	352	8691
39	358	8601
40	364	8522
41	370	8452
42	376	8377
43	383	8322
44	389	8262
45	394	8190
46	401	8132
47	407	8082
48	413	8018
49	420	7980
50	426	7931
51	432	7877
52	438	7830
53	443	7776
54	449	7725
55	455	7679
56	461	7637
57	467	7600
58	473	7557
59	480	7521
60	486	7490
61	492	7448
62	498	7411
63	504	7375
64	510	7343
65	516	7309
66	522	7274
67	528	7245
68	535	7227
69	542	7204
70	548	7179
71	556	7166
72	563	7153
73	571	7147
74	579	7145
75	587	7140
76	595	7140
77	603	7137
78	612	7141
79	622	7159
80	631	7167
81	641	7178
82	650	7185
83	660	7205
84	671	7223
85	681	7237
86	690	7245
87	700	7259
88	710	7274
89	720	7280
90	729	7287
91	739	7293
92	748	7298
93	757	7303
94	767	7307
95	775	7307
96	785	7309
97	794	7314
98	804	7320
99	813	7320
100	822	7317
101	830	7314
102	839	7308
103	847	7305
104	856	7303
105	866	7307
106	875	7309
107	885	7310
108	894	7310
109	903	7313
110	916	7337
111	926	7342
112	935	7344
113	945	7347
114	954	7348
115	963	7344
116	973	7343
117	982	7345
118	992	7346
119	1001	7344
120	1010	7339
121	1018	7329
122	1026	7320
123	1035	7318
124	1045	7321
125	1056	7325
126	1065	7327
127	1075	7325
128	1084	7324
129	1094	7323
130	1103	7320
131	1113	7320
132	1122	7316
133	1132	7316
134	1140	7310
135	1149	7305
136	1158	7296
137	1166	7289
138	1175	7278
139	1183	7267
140	1190	7255
141	1198	7241
142	1206	7231
143	1214	7219
144	1222	7210
145	1231	7202
146	1239	7192
147	1247	7181
148	1254	7167
149	1262	7156
150	1271	7146
151	1278	7134
152	1286	7123
153	1294	7113
154	1302	7101
155	1310	7090
156	1318	7081
157	1326	7069
158	1335	7063
159	1343	7055
160	1352	7048
161	1360	7040
162	1369	7033
163	1379	7031
